ID,Language_ID,Name,Description,Example_IDs,Source,Schema
constr1,ital1282,Prepositional IO with a,,ex135;ex649,,A V.subj[A] T a+R
constr2,stan1293,Double-Object Construction,,ex136,thompson-etal-1987[...];oehrle-1976,A V.subj[A] R T
constr3,even1260,Dative-Accusative Construction,"This is a basic construction for ditransitive verbs. R is in the dative case, the T is in the accusative (or in the reflexive possessive form). Indexing is neutral as there is only subject agreement and no object agreement.",ex138,malchukov-na,(A) R-dat T-acc V.subj[A]
constr4,even1260,Designative (Internal Possessor) Construction,In this construction R is normally noun phrase internal in the possessor position; but it can also be “extracted” and then put into dative as in (1708).,ex139;ex357,malchukov-na,(A) R.POS T.DES+POS.AGR V-a/s
constr5,kwaza,Secundative Split Pattern,Agreement is secundative with R. R is marked by an object marker -wa which also marks animate Ps (differential object marking).,ex140;ex358,voort-2004,A R+wa T V.obj[R].subj[A]
constr6,sali1295,Oblique R construction,R is introduced as a postpositional oblique rather than a core argument.,ex141,ch001margetts1999,A T AGRs-V-AGRo=t R+Post
constr7,sali1295,Double-Object Construction,"This is the basic pattern for tri-valent verbs (in particular, causatives).",ex142,ch001margetts1999,A R T subj[A].V.obj[R]
constr8,sali1295,Neutral Construction,This pattern is exceptional in Saliba in that it has two unmarked core objects.,ex143,ch001margetts1999,A R T subj[A].V.obj[T]
constr9,sali1295,Monotransitive Construction,"This pattern is used when R is a non-third person; it uses another suppletive stem with T as a primary object, R is expressed indirectly by directional suffixes: he-gave-it-hither ‘gave me’, he-gave-it-thither ‘gave you’.",ex144;ex359,ch001margetts1999,A P subj[A].V.obj[P]-dir
constr10,udih1248,Double-Object Construction,"The double object construction is available, e.g. for 'teach', 'tell/say', 'ask', as well as for causatives of transitives.",ex145,ch10nikolaevatolskaya2001,(A) R-acc T-acc V.subj[A]
constr11,udih1248,Destinative Construction,Here R is “NP-internal”: it is represented as a possessor within the object nounphrase (and indexed by possessive agreement on the object); the object is marked by destinative case.,ex146,ch10nikolaevatolskaya2001,R=POS T-DEST-AGRpos V-a/s
constr12,mand1415,Double-Object construction,This is a construction restricted to few ditransitive verbs like gei ‘give’.,ex147;ex360,ch001lithompson1981,A V R T
constr13,gama1251,Basic Ditransitive Construction,,ex148,watters-2002,(A-erg) R-obj T V.obj[R].subj[A]
constr14,stan1293,Prepositional Indirect-Object Construction,,ex149,,A V T to+R
constr15,gama1251,Derived (Benefactive) Ditransitive Construction,"It differs from the basic ditransitive in that it obligatorily includes the benefactive applicative on the verb (NB: benefactive < ‘give’). Without the benefactive, these verbs pattern as monotransitives, i.e. they take the T as their object (see ex. 2).",ex150;ex361,watters-2002,(A-erg) R-obj T V.BEN-obj[R].subj[A]
constr16,udih1248,Dative Construction,This is the basic ditransitive construction.,ex151,ch10nikolaevatolskaya2001,(A) R-dat T-acc V.subj[A]
constr17,mala1464,Dative construction,The accusative only occurs on animate objects (P- and T-arguments).,ex152;ex362,ch001asherkumari1997[204],A R-dat T(-acc) V
constr18,mala1464,Sociative Construction,This construction is used with verbs of speech predominantly. NB: T is often unexpressed.,ex153,ch001asherkumari1997,R-SOC (T(ACC)) V
constr19,mala1464,Double Object Construction,It occurs with some less typical ditransitives (e.g. ‘entrust’). Causatives of transitives also take a Double Object Construction.,ex154;ex363,ch001asherkumari1997,R-ACC T(ACC) V
constr20,mala1464,Benefactive Construction,The benefactive verb is derived from the contraction of the (adverbial) participle with the GIVE verbs (either of the two suppletive verbs).,ex155;ex364,ch001asherkumari1997,R-dat T(acc) V-BEN
constr21,west2369,Prepositional R construction,The accusative marking only occurs on definite/specific T- and P-arguments.,ex156;ex365,mahootian-1997,(A) T=ACC Prep R V-agr/s
constr22,west2369,Quasi-incorporated T construction,"T takes a pronominal enclitic otherwise used for possessive agreement. Yet, it is not an internal R construction, but rather a complex predicate, where the object agreement refers to R “ignoring” a quasi-incorporated T (I poison-gave-him = I poisoned him). Thus, indexing here is secundative, but flagging is indirective (R is still prepositional if overt). Syntactic properties are indirective as well (e.g. R cannot passivize). M. Dabir-Moghaddam",ex157,mahootian-1997,T=AGRpos V
constr23,mand1415,Prepositional Object Construction,R is introduced by the preposition gei < ‘give’; the word order can vary. Cf. examples 1499 and 1727 for prepositional R shifting.,ex158;ex366,ch001lithompson1981,(A) V T gei+R
constr24,mand1415,Preposed T (BA) construction,In a prepositional construction T can be fronted (if definite) and then introduced by BA (definite O marker). Only P/T can be BA-shifted; cf. BA construction in (1728) and prepositional in (1500).,ex159;ex367,ch001lithompson1981,(A) ba T V (gei) R
constr25,gaga1251,Secundative construction,Here both R and T are unmarked: The object agreement on the verb refers to R.,ex160,harvey-2002,(A) R T obj[R].subj[A].V
constr26,gaga1251,Indirective Construction,Here R is optionally marked by the dative clitic; the verb takes the IO-agreement enclitic (prefixal object agreement on the verb refers to T here).,ex161;ex368,harvey-2002,(A) R(dat) T a/s+t/p-V=d
constr27,gaga1251,Double Object (fluid alignment),"This construction is formally identical to the secundative construction, but the alignment is dependent on the animacy hierarchy: Secundative (as in ex. 1503) can change to indirective alignment (as in ex. 1731), if T is 1st person; object agreement in ex. 1731 is with the 1st person T.",ex162;ex369,harvey-2002,(A) R T obj[T].subj[A].V
constr28,kumi1248,Secundative Construction,Object agreement cross-references R (unless T is higher in the animacy hierarchy; see secundative construction). This also holds for derived (causative) ditransitives (see ex. 1732).,ex163;ex370,miller-2001,(A) R T subj[A].obj[R].V
constr29,kumi1248,Indirective Construction,"Object agreement cross-references T, if it is higher in the animacy hierarchy than R. This also holds for derived (causative) ditransitives (see ex. 1733).",ex164;ex371,miller-2001,(A) T R subj[A].obj[T].V
constr30,kwaza,Benefactive Construction,The benefactive is encoded by the suffix -du (van der Voort 2004: 125) and is not cross-referenced by the object agreement.,ex165;ex372,voort-2004,(A) R-du T.(obj) V-t/p-a/s
constr31,sout2750,Dative construction,"T can also take nominative case (if A >> P), predicative case (if the object is in focus), or instrumental case (if the object is indefinite).",ex166;ex373,maslova-2003,(A) R-dat T-acc* V
constr32,sout2750,Double Object Construction,"T can also take nominative case (if A >> P), predicative case (if the object is in focus), or instrumental case (if the object is indefinite).",ex167;ex374,maslova-2003,(A) R-acc T-acc* V
constr33,finn1318,Allative Ditransitive Construction,"T is in accusative (or partitive) case, and R is in allative case.",ex168,kaiser-2002,A V.subj[A] T-acc R-all
constr34,tari1256,Double Object Construction,"Both R and T (as well as P-arguments) will be marked by the object (”non-subject”) case -nuku, if topical. If pronominal, both R and T (as well as P-arguments) take the object case -na.",ex169;ex375,aikhenvald-y.-2003,R-obj T-obj subj[A].V
constr35,tari1256,Dative-Benefactive Construction,R is marked by the postposition -siu ‘for’ (and additionally by the benefactive auxiliary in a serial verb construction -a ‘go’) NB (p. 437): The benefactive can also be encoded by means of the serial verb construction (see ex. 1739).,ex170;ex376,aikhenvald-y.-2003[237],T-OBJ V (AUX-V) R-siu
constr36,mode1248,Genitive Ditransitive Construction,Apparently this construction regularly alternates with the Prepositional Ditransitive Construction.,ex171,,A V R-gen T-acc
constr37,mode1248,Prepositional Ditransitive Construction,Apparently this construction regularly alternates with the Genitive Ditransitive Construction.,ex172;ex377,,A V T-acc se+R
constr38,mode1248,Double Accusative Ditransitive Construction,Apparently this construction regularly alternates with the Prepositional Ditransitive Construction.,ex173,,A V R-acc T-acc
constr39,lele1276,Double Object Construction,"If R is pronominal, it is marked by the resumptive pronouns as other objects. A may appear either preverbally or - if 3rd person pronoun - postverbally; in that case it follows the resumptive pronoun (if any). NB: It is used when R is affected (to the benefit/detriment).",ex174;ex378,frajzyngier-2001[130],(A) V(=pro.O) T R
constr40,lele1276,Prepositional Dative Construction,"Prep+R cannot be shifted to postverbal position if R is nominal, but it can be shifted if pronominal. The construction is used when R is not affected (to the benefit/detriment) (Frajzyngier 2001: 132).",ex175;ex379,frajzyngier-2001[132],A V T [bE + R]
constr41,thai1261,Prepositional Construction,Most canonical ditransitive verbs use a prepositional construction with preposition kὲ̀̀ε in alternation with the double object construction. The prepositional construction must be used if T is heavy.,ex176;ex380,,A V T kὲ̀̀ε R
constr42,thai1261,Benefactive Construction,The beneficiary is introduced by hây ‘give’ and optionally with kὲ̀̀ε.,ex177;ex381,yaowapat-na,A V T hây (kὲ̀̀ε) R
constr43,thai1261,Benefactive-Locative Construction,"T is followed by pay ‘go’ and hay ‘give’. If R is inanimate (e.g. ‘send to London’), then hay ‘give’ does not appear.",ex178;ex382,yaowapat-na,A V T pay hay R
constr44,emai1241,Double Object Construction,"Generally, the Double Object Construction occurs with few verbs (’lend’, ‘teach’, ‘pay’, ‘send’, the latter only in ‘send X a message’?), but it is also used for ‘steal’, ‘call’, and ‘hit’-verbs. Its use with (?some of) the ‘steal’-verbs still has to be confirmed, since this construction is indistinguishable from the possessive construction which is equally unmarked.",ex179;ex383,ch001schaeferegbokhare2003,A V R T
