ID,Construction_ID,Parameter_ID,Code_ID,Example_IDs,Source,Value,Comment
constr3-cparam11,constr3,cparam11,cparam11-c4,ex1;ex63,malchukov-2002,either T or R (but not both),"Relativization is participial gapping, which distinguishes between relativization of subjects and non-subjects (in the latter case the subject is retained in the relative clause and cross-referenced on the participle with possessive agreement). Non-subject relativization allows to relativize both T and R (along with P and Obliques)."
constr4-cparam11,constr4,cparam11,cparam11-c7,,,only T,
constr5-cparam11,constr5,cparam11,cparam11-c9,ex64,voort-2004[688],unclear,The participial/nominalizer can relativize subjects and objects. It is not clear what happens in ditransitives.
constr6-cparam11,constr6,cparam11,cparam11-c6,,ch001margetts1999[22],only R,Only the primary object (cross-referenced by person indexing) can be relativized (Margetts 1999: 22).
constr7-cparam11,constr7,cparam11,cparam11-c6,,ch001margetts1999[22],only R,Only the primary object (cross-referenced by person indexing) can be relativized.
constr8-cparam11,constr8,cparam11,cparam11-c6,,ch001margetts1999[22],only R,Only the primary object (cross-referenced by person indexing) can be relativized.
constr12-cparam11,constr12,cparam11,cparam11-c4,,ch001lithompson1981[579 f.],either T or R (but not both),There is relativization by nominalization (gapping) on objects and obliques. Hence relativization of both T and (bare) R should be possible (no examples of relativization from a ditransitive double object construction are given though).
constr13-cparam11,constr13,cparam11,cparam11-c5,ex2;ex66;ex1561;ex1562,watters-2002[205 / 208],either T or R or both,"Relativization is realized through the use of nominalization, which distinguishes subject vs. non-subject relative clauses. In ditransitives both can be relativized. – But out of context the noun phrase head of a non-subject ditransitive is interpreted as R (ex. 7016). – Note: Relative clauses with 1st/2nd person R arguments can be cross-referenced for both R and P (cf. ex. 7017)."
constr16-cparam11,constr16,cparam11,cparam11-c5,ex67,ch10nikolaevatolskaya2001[677],either T or R or both,"Relative clauses are participial with gapping. Apart from direct objects, the relativization of oblique objects (including R) is possible. Note that the same holds also for internal relativization."
constr28-cparam11,constr28,cparam11,cparam11-c4,ex68,miller-2001,either T or R (but not both),"Relativization is head-internal: the relativized NP stays in a relative clause, its function in the main clause is marked with a relative clause-final demonstrative. – Apparently no restrictions on relativization of objects."
constr34-cparam11,constr34,cparam11,cparam11-c9,,aikhenvald-y.-2003,unclear,"Relative clauses are formed by participles (with ka- relativizer), also used for agentive nominalizations. Relative clauses can be postnominal, prenominal, or internally headed. If the common argument is subject, the relative (participle) is used. If the common argument is object, the action/object nominalizer -nipe is used. No ditransitive examples are given."
constr41-cparam11,constr41,cparam11,cparam11-c5,ex8;ex70,,either T or R or both,"Relativization is postnominal; for objects either gapping, or with pronoun retention (apparently possible only with animates). Note that in the (b) example the resumptive pronoun and preposition are optional."
constr42-cparam11,constr42,cparam11,cparam11-c4,ex9;ex71,,either T or R (but not both),Also by a pronoun retention strategy; the benefactive verb hay is also retained (stranded) in relative clauses.
constr47-cparam11,constr47,cparam11,cparam11-c4,ex10;ex72,ch001kimenyi1980[67],either T or R (but not both),"Both T and R can be relativized. The relative clause follows the head noun, and its verb is specially marked."
constr51-cparam11,constr51,cparam11,cparam11-c4,,,either T or R (but not both),No explicit discussion; apparently all noun phrases in a simple sentence are relativizable.
constr54-cparam11,constr54,cparam11,cparam11-c4,ex12,ch001lichtenberk1983[555 ff.],either T or R (but not both),Relativization is postnominal finite (at least not nominalized or participial). It also often uses resumptive pronoun to refer to the head of the relative clause. Both subjects and objects including obliques can be relativized. Agreement marking on the verb as in the main clause.
constr55-cparam11,constr55,cparam11,cparam11-c4,ex13;ex73,valenzuela-2003[530],either T or R (but not both),"RCs postnominal participial. Both T and R can be relativized. Also in internal RCs which relativizes on S/P, both T and R of ditransitives can be relativized: (42b) Tsoma-n joni koríki meni-a]-ra jawen pisha-n iki. [Tsoma-ERG man:ABS money:ABS give-PP2]-EV POSS.3SG bag-LOC COP] ‘The money that Tsoma gave to the man is in his bag.’"
constr61-cparam11,constr61,cparam11,cparam11-c4,ex14;ex74,ch10nedjalkov1997,either T or R (but not both),"RCs are either participial postnominal or finite (with a relative pronoun). – In participial relative clauses, objects (P,T) can be relativized. Indirect object can only be relativized by a finite (“conjunctive”) RC (with a relative pronoun)."
