ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,WALS_Code
huic1243,Huichol,,,,huic1243,hch,hui
udih1248,Udihe,,,,udih1248,ude,udh
gama1251,Kham,,,,gama1251,kgj,kmh
mala1464,Malayalam,,,,mala1464,mal,mym
gaga1251,Gaagudju,,,,gaga1251,gbu,gaa
even1260,Even,,,,even1260,eve,evn
kwaza,Kwaza,,,,,,kwz
stan1295,German,,,,stan1295,deu,ger
finn1318,Finnish,,,,finn1318,fin,fin
tari1256,Tariana,,,,tari1256,tae,tar
mode1248,Modern Greek,,,,mode1248,ell,grk
lele1276,Lele,,,,lele1276,lln,lel
thai1261,Thai,,,,thai1261,tha,tha
cavi1250,Cavineña,,,,cavi1250,cav,cav
kiny1244,Kinyarwanda,,,,kiny1244,kin,kin
sahaptin,Sahaptin,,,,,,shp
nucl1302,Georgian,,,,nucl1302,kat,geo
mana1295,Manam,,,,mana1295,mva,mnm
ship1254,Shipibo-Konibo,,,,ship1254,shp,shk
even1259,Evenki,,,,even1259,evn,eve
tami1289,Tamil,,,,tami1289,tam,tml
wari1268,Wari’,,,,wari1268,pav,war
abkh1244,Abkhaz,,,,abkh1244,abk,abk
ainu1240,Ainu,,,,ainu1240,ain,ain
akan1250,Akan,,,,akan1250,aka,akn
akha1245,Akha,,,,akha1245,ahk,akh
alam1246,Alamblak,,,,alam1246,amp,ala
aleu1260,Aleut,,,,aleu1260,ale,ale
amel1241,Amele,,,,amel1241,aey,ame
amha1245,Amharic,,,,amha1245,amh,amh
arak1252,Araki,,,,arak1252,akr,ark
indo1317,Bajau,,,,indo1317,bdl,baj
basq1248,Basque,,,,basq1248,eus,bsq
baou1238,Baule,,,,baou1238,bci,ble
yuec1235,Cantonese,,,,yuec1235,yue,cnt
cash1254,Cashinahua,,,,cash1254,cbs,csh
cham1312,Chamorro,,,,cham1312,cha,cha
soch1239,Sochiapan Chinantec,,,,soch1239,cso,csc
crow1244,Crow,,,,crow1244,cro,cro
dier1241,Diyari,,,,dier1241,dif,diy
djin1251,Jingulu,,,,djin1251,jig,dji
dyir1250,Dyirbal,,,,dyir1250,dbl,dyi
stan1293,English,,,,stan1293,eng,eng
ewee1241,Ewe,,,,ewee1241,ewe,ewe
fonn1241,Fongbe,,,,fonn1241,fon,fon
mesk1242,Meskwaki,,,,mesk1242,sac,fox
garo1247,Garo,,,,garo1247,grt,gar
halk1245,Halkomelem,,,,halk1245,hur,hlk
hixk1239,Hixkaryana,,,,hixk1239,hix,hix
hupa1239,Hupa,,,,hupa1239,hup,hup
arhu1242,Ika,,,,arhu1242,arh,ika
ital1282,Italian,,,,ital1282,ita,ita
itel1242,Itelmen,,,,itel1242,itl,ite
iton1250,Itonama,,,,iton1250,ito,ito
popt1235,Jakaltek,,,,popt1235,,jak
djam1255,Jaminjung,,,,djam1255,djd,jam
nucl1643,Japanese,,,,nucl1643,jpn,jpn
jara1245,Jarawa (in Andamans),,,,jara1245,anq,jrw
kamb1299,Kambera,,,,kamb1299,xbr,kam
kash1277,Kashmiri,,,,kash1277,kas,kas
kaza1248,Kazakh,,,,kaza1248,kaz,kaz
kett1243,Ket,,,,kett1243,ket,ket
khan1273,Khanty,,,,khan1273,kca,kty
nama1264,Khoekhoe,,,,nama1264,naq,kho
khva1239,Khwarshi,,,,khva1239,khv,khv
koas1236,Koasati,,,,koas1236,cku,koa
kore1280,Korean,,,,kore1280,kor,kor
koro1298,Koromfe,,,,koro1298,kfz,kfe
koyr1240,Koyra Chiini,,,,koyr1240,khq,kch
koyr1242,Koyraboro Senni,,,,koyr1242,ses,kse
lako1247,Lakhota,,,,lako1247,lkt,lkt
lang1324,Lango,,,,lang1324,laj,lan
lavu1241,Lavukaleve,,,,lavu1241,lvk,lav
lazz1240,Laz,,,,lazz1240,lzz,laz
malt1254,Maltese,,,,malt1254,mlt,mlt
mand1415,Mandarin Chinese,,,,mand1415,cmn,mnd
mapu1245,Mapudungun,,,,mapu1245,arn,map
mari1440,Maricopa,,,,mari1440,mrc,mar
mart1255,Martuthunira,,,,mart1255,vma,mrt
mori1278,Mauritian Creole,,,,mori1278,mfe,mcr
movi1243,Movima,,,,movi1243,mzp,mov
nepa1252,Nepali,,,,nepa1252,nep,nep
newa1246,Dolakha Newari,,,,newa1246,new,nwd
east2542,Eastern Ojibwe,,,,east2542,ojg,oji
olut1240,Olutec,,,,olut1240,plo,olu
nucl1284,Oriya,,,,nucl1284,ori,oya
panj1256,Panjabi,,,,panj1256,pan,pan
male1292,Passamaquoddy-Maliseet,,,,male1292,pqm,psm
west2369,Persian,,,,west2369,pes,prs
nort2966,Northern Pomo,,,,nort2966,pej,pmn
nort2722,Qiang,,,,nort2722,,qia
imba1240,Imbabura Quechua,,,,imba1240,qvi,qim
sali1295,Saliba (in PNG),,,,sali1295,sbe,slb
seme1247,Semelai,,,,seme1247,sza,sml
seri1257,Seri,,,,seri1257,sei,ser
shos1248,Shoshone,,,,shos1248,shh,sho
supy1237,Supyire,,,,supy1237,spp,sup
swah1253,Swahili,,,,swah1253,swh,swa
swat1243,Swati,,,,swat1243,ssw,swt
tehu1242,Tehuelche,,,,tehu1242,teh,teh
teop1238,Teop,,,,teop1238,tio,teo
thad1238,Thadou,,,,thad1238,tcz,thd
kumi1248,Tiipay (Jamul),,,,kumi1248,dih,tja
trio1238,Tiriyo,,,,trio1238,tri,tir
sout2961,Tiwa (Southern),,,,sout2961,tix,tws
acat1239,Tlapanec,,,,acat1239,tpx,tlp
yecu1235,Totonac (Misantla),,,,yecu1235,tlc,tot
tuka1249,Tukang Besi,,,,tuka1249,,tuk
pana1305,Tümpisa Shoshone,,,,pana1305,par,tsh
tzot1262,Tzotzil,,,,tzot1262,tzc,tzo
vafs1240,Vafsi,,,,vafs1240,vaf,vaf
wapp1239,Wappo,,,,wapp1239,wao,wap
nucl1347,Wolof,,,,nucl1347,wol,wlf
kung1261,!Xun (Ekoka),,,,kung1261,knw,xun
yaqu1251,Yaqui,,,,yaqu1251,yaq,yaq
yoru1245,Yoruba,,,,yoru1245,yor,yor
sout2750,Yukaghir (Kolyma),,,,sout2750,yux,yko
cent2127,Yup'ik (Central),,,,cent2127,esu,ypk
yura1255,Yuracare,,,,yura1255,yuz,yrc
zarm1239,Zarma,,,,zarm1239,dje,zar
zulu1248,Zulu,,,,zulu1248,zul,zul
puma1239,Puma,,,,puma1239,pum,pma
mazatecsanjeronimo,Mazatec (San Jeronimo),,,,,,mzs
leti1246,Leti,,,,leti1246,lti,let
kaya1319,Kayardild,,,,kaya1319,gyd,kay
hung1274,Hungarian,,,,hung1274,hun,hun
emai1241,Emai,,,,emai1241,ema,ema
haka1240,Lai,,,,haka1240,cnh,lai
nort2954,Paiute (Northern),,,,nort2954,pao,pno
indo1316,Indonesian,,,,indo1316,ind,ind
jalonke,Jalonke,,,,,,jlx
mani1292,Meithei,,,,mani1292,mni,mei
nuuu1241,N|uu,,,,nuuu1241,ngh,ngh
kala1399,Greenlandic (West),,,,kala1399,kal,grw
joolabanjal,Jóola Banjal,,,,,,jlba
neoaramaictelkepe,Neo-Aramaic (Telkepe),,,,,,
mian1256,Mian,,,,mian1256,mpt,
tima1241,Tima,,,,tima1241,tms,
teiwa,Teiwa,,,,,,
chintang,Chintang,,,,,,
donn1238,Donno So,,,,donn1238,dds,
anci1242,Ancient Greek,,,,anci1242,grc,
abun1252,Abun,,,,abun1252,kgr,abu
ainu1240-2,Ainu (BJ),,,,ainu1240,ain,ain
akaw1239,Akawaio,,,,akaw1239,ake,akw
lala1268,Ala'ala,,,,lala1268,nrz,all
alya1239,Alyawarra,,,,alya1239,aly,aly
east2443,Ambae (Lolovoli Northeast),,,,east2443,omb,aml
nung1282,Anong (BJ),,,,nung1282,nun,ano
apur1254,Apurinã (BJ),,,,apur1254,apu,apu
egyp1253,Arabic (Egyptian) (BJ),,,,egyp1253,arz,aeg
arao1248,Araona (BJ),,,,arao1248,aro,ana
araw1276,Arawak (BJ),,,,araw1276,arw,ara
nucl1235,Armenian (Eastern) (BJ),,,,nucl1235,hye,arm
arop1243,Arop-Lokep (BJ),,,,arop1243,apr,alk
arrerntebj,Arrernte (BJ),,,,,,arr
veng1238,Babungo (BJ),,,,veng1238,bav,bab
badi1246,Badimaya (BJ),,,,badi1246,bia,bdm
bagi1246,Bagirmi (BJ),,,,bagi1246,bmi,bag
cent2004,Bai (BJ),,,,cent2004,bca,bai
indo1317-2,Bajau (BJ),,,,indo1317,bdl,baj
baka1272,Baka (in Cameroon) (BJ),,,,baka1272,bkc,bak
bann1247,Banoni (BJ),,,,bann1247,bcm,bnn
bara1380,Barasano (BJ),,,,bara1380,bsn,brs
bare1276,Baré (BJ),,,,bare1276,bae,bae
bauz1241,Bauzi (BJ),,,,bauz1241,bvz,bzi
bawm1236,Bawm (BJ),,,,bawm1236,bgr,baw
belh1239,Belhare (BJ),,,,belh1239,byw,bel
cent2194,Berber (Middle Atlas) (BJ),,,,cent2194,tzm,bma
bert1248,Berta (BJ),,,,bert1248,wti,ber
bhoj1244,Bhojpuri (BJ),,,,bhoj1244,bho,bho
gunw1252,Bininj Gun-Wok (BJ),,,,gunw1252,gup,bbw
biri1256,Biri (BJ),,,,biri1256,bzr,bii
bisu1244,Bisu (BJ),,,,bisu1244,bii,biu
siks1238,Blackfoot (BJ),,,,siks1238,bla,bla
tiey1235,Bozo (Tigemaxo) (BJ),,,,tiey1235,boz,boz
brok1247,Brokskat (BJ),,,,brok1247,bkk,bkt
tean1237,Teanu (BJ),,,,tean1237,tkw,bum
buru1296,Burushaski (BJ),,,,buru1296,bsk,bur
busa1253,Busa (BJ),,,,busa1253,bqp,bus
byan1241,Byansi (BJ),,,,byan1241,bee,bya
canelakrahobj,Canela-Krahô (BJ),,,,,,ckr
chan1310,Chantyal (BJ),,,,chan1310,chx,chn
cher1273,Cherokee (BJ),,,,cher1273,chr,che
leal1235,Chinantec (Lealao) (BJ),,,,leal1235,cle,cle
choc1279,Chocho (BJ),,,,choc1279,coz,cch
choc1276,Choctaw (BJ),,,,choc1276,cho,cct
chuk1273,Chukchi (BJ),,,,chuk1273,ckt,chk
coma1245,Comanche (BJ),,,,coma1245,com,cmn
coos1249,Coos (Hanis) (BJ),,,,coos1249,csz,coo
