Example_ID,Language_ID,Example_type,Primary_text,Original_orthography,Gloss,Analyzed_text,Translation,Translation_other,Comments,Reference_ID,Reference_pages
5,7,,etiken (turki-v) bo-ce-n kunga,,old_man (sleigh-ACC) give-PRF.PTCP-3SG.POSS child,,the child to whom the sleigh was given by the old man,,,258,p.k.
15,3,,[no-e Ø mǝdǝ o-ra-e-o] sehr-rǝ,,[he-ERG Ø wine 3SG.A-3PL.P-give-NMLZ] elder-PL,,the elders [to whom he gave wine],,,235,206
17,3,,tha: pǝrĩ:-dǝ o-ra-e-o mi:-rǝ,,news send-NF 3SG.A-3PL.P-BEN/give-NMLZ person-PL,.,the people to whom he sent the news,,,235,209
19,4,,saaṟa kaʈam koʈutta kuuʈʈukaari,,[Sarah loan give:PST:RP] friend,.,the friend to whom Sarah gave a loan,,,259,62 (ex.285b)
23,1839,,mærd-i ke pul-o be-heš dad-æm,,man-DEM that money-OBJ.M to-3SG.PC gave-1SG,.,the man who I gave the money to,,,260,35
25,1387,,wǒ sòng gěi *(tā) yi - běn xiǎoshuō de rén,,I give to *(3SG) one - CL novel NOM person,.,The person to whom I gave a novel.,,,261,584
41,15,,bayndí-ŋ go ŋ bè-y kòjò ko-noŋ è jè dí,,man-DEF REF 1SG give-3.M hoe GEN-1SG go VENT 3.M,.,the man to whom I gave my hoe came,,,264,445
43,16,,khon thîi chǎn hây nǎŋs˘i [(kὲ̀̀ε) khăw],,person REL 1SG give book [to 3SG],.,the person to whom I gave a book,,,237,(ex.2)
44,16,,phûuchaay thîi chǎn khǎay nǎ̀̀ŋs˘i hây (kὲ̀̀ε) (khǎw),,man REL 1SG sell book give (to) (3SG),.,the man to whom I sold the book,,,,(5)
49,18,,umukôobwa umuhûungu y-a-háa-ye igitabo,,girl boy he-PST-give.REL-ASP book,.,the girl to whom the boy gave the book,,,138,68
50,2560,,"Itt van a fiú, aki-nek Anna felolvasta a könyvet.",,here is the boy who-DAT Anna PFX.read.DEF the book.ACC,.,Here is the boy to whom Anna reads the book.,,,272,42
57,21,,áine /ʔúsi ʔu-zaza-ø-n-í-ŋe/ go-itíʔin-a,,woman loin_cloth 2SG.RL-buy-3PL.OBJ-BEN-3SG.OBJ-RES.PRO 2SG.IRR-show.to-1SG.OBJ,.,Show me the woman you bought the loincloths for.,,,145,557
58,22,,Bake-bo Pena-n esé-bo meni-ai r-iki jawen baba-bo.,,child-PL Pena-ERG advice-PL:ABS give-PP1:ABS EV-COP 3.POSS grandchild-PL,.,The children to whom Pena is giving advice are her grandchildren.,,,239,530
64,23,,Beje anty-du bi purta-va bu:-che-v suru-che-n.,,man which-DAT I knife-ACC.DEF give-PST-1SG go.away-PST-3SG,.,The man (to) whom I gave the knife went away.,,,240,40
65,25,,Mon [ma'-on] ma’ tarama’ co mi’ ta’ con hwam pane.,,that:PROX:hearer.M [that:PROX:hearer-M] that:PROX:hearer man INFL:M/F.RPP give 1s PREP:3SG.M fish REM:PST,.,There is the man to whom I gave a fish.,,,230,88 (ex.125d)
70,1903,,[Juzi Ø kulki-ta kara-na] warmi,,[José Ø silver-ACC give-NMLZ] woman,.,the woman to whom José gave money,,,241,54 (ex.182b)
77,2558,,aan-ku=ra müem-ele ïaklu la=e,,children-1SG=PL RED.2SG-give.DEX top.DEX DIR=DEX,.,my children to whom you give the playing-top,,,229,229
79,2471,,U jamut-Øi [Peo-ta toto’i-ta ai miika-ka-’u],,the woman-NOM [Pedro-ACC hen-ACC 3SG:ACC give-PFV-CLM],.,The woman to whom Pedro gave (her) the hen.,,,501,ex.9c
80,2471,,U jamut-tai [Peo-ta toto’i-ta a-ui nenka-ka-’u],,the woman-NOM [Peo-ACC hen-ACC 3SG-DIR sell-PFV-CLM],.,The woman to whom Pedro sold the hen (to her).,,,501,ex.10c
85,2562,,rool ka-ʔay-ter-mii lawthlawpaa ka-hooy ʔa-sii,,food 1SG.SBJ-eat-CAUS-REL farmer 1SG.POSS-friend 3SG.SBJ-COP,.,The farmer I fed is my friend.,,,161,120
86,2562,,lawt ʔan-thloʔ-piak-mii lawtlawpaa khaa ka-hmuʔ,,field 3PL.SBJ-hoe-AFF-REL farmer DEIC 1SG.SBJ-see,.,I saw the farmer they hoed the field for.,,,161,120
95,2563,,su=nana i=tɨ-kuhani-kɨ-na ɨ=supitakwatu,,NOM=man 1=ANTIP-cook-APPL-PTCP 2=know,.,The man I cook for knows you.,,,270,285
100,2564,,*Wanita itu saja kirim surat itu (kepada).,,woman the I send letter the (to),.,That woman I sent the letter to.,,,278,238 (ex.61a)
101,2564,,*Saja me-lihat surat jang Ali kirim-i kakak saja.,,I TR-see letter COMP Ali send-BEN sibling my,.,I saw the letter that Ali sent my sister.,,,278,240 (ex.69a)
104,449,,Hu-tungo’ i lahi hayi f-in-ahan-i-ña si Juan i kareta.,,ERG.1SG-know the man who Ø-NOM-buy-PRM-3SG.POSS UNM John the car,.,I know the man John bought the car for.,,,279,177
107,1179,,har di kaa se ay noo njerfu di,,man DEF REL DAT 1SG.SBJ give money DEF,.,the man to whom I gave the money,,,283,192 (ex.329a)
109,1179,,?#har di kaa ay noo njerfu di,,man DEF REL I give money DEF,.,the man to whom I gave the money,,,283,192 (ex. 330a)
112,1893,,qa-wu-panə-dele-m mi,,1SG-ERG-thing-give-NOM person,.,the person to whom I gave something,,,285,227
115,2384,,mi ce k’ew-thu taka? ma-hes-ta (ce) ah naw-ta?,,2SG DEM man-DAT basket DIR-give-PST.DEP (DEM) 1SG.NOM see-PST,.,I saw the man you gave the basket to.,,,287,117
123,2566,,ә-hәn oy-lә́́bә nu-pa-tu-nә ŋá-lú-pák pí-lәm-pә nu-pi-tu әy-ki nu-pi-ni,,ATTR-old be-HAVING person-M-DDET-CONTR fish-trap-broad give-EVD-NOM person-F-DDET 1SG-GEN person-F-COP,.,The woman to whom the basket of fish was given by the man who is old is my wife.,,,294,158
130,2567,,|eeki he Griet si ʔãa ɦa si doŋki-si,,woman REL Griet FUT give 3SG(RESUMP).DAT 1PL donkey-SG,.,the woman Griet will give our donkey to,,,256,191 (ex.72a)
132,2568,,nukappiaaraq Maalia-mit qimmi-mik tuni-saa-juma-suq,,boy Mary-ABL dog-INS give-PASS-want-INTR.PART,.,the boy who wanted to be given a dog by Mary,,,325,53
135,1052,,su naphar [yas me gər dits] gav garɨ.,,that person [REL.DAT I:ERG watch gave] went home,.,The person whom I gave a watch went home.,,,326,61
136,1097,,(naŋ) a:n mij-əm pox-e:n e:wəlt,,(he) cup give-PST.PTCP boy-3SG.POSS about,.,about the boy to whom you gave the cup,,,327,77
139,79,,ɨnd ø nëm maroham hay-më mërho-r,,DEM ø we money give-REM.PST European-3SG.M,.,the European (to whom) we gave money (OR:  the European (who) gave money to us),,,328,110
