Language_ID,Language_name,Glottocode
1,Huichol,huic1243
2,Udihe,udih1248
3,Kham,gama1251
4,Malayalam,mala1464
6,Gaagudju,gaga1251
7,Even,even1260
9,Kwaza,kwaz1243
11,German,stan1295
12,Finnish,finn1318
13,Tariana,tari1256
14,Modern Greek,mode1248
15,Lele,lele1276
16,Thai,thai1261
17,Cavineña,cavi1250
18,Kinyarwanda,kiny1244
19,Sahaptin,umat1237
20,Georgian,nucl1302
21,Manam,mana1295
22,Shipibo-Konibo,ship1254
23,Evenki,even1259
24,Tamil,tami1289
25,Wari’,wari1268
34,Abkhaz,abkh1244
62,Ainu,ainu1240
70,Akan,akan1250
72,Akha,akha1245
79,Alamblak,alam1246
83,Aleut,aleu1260
103,Amele,amel1241
105,Amharic,amha1245
159,Araki,arak1252
231,Bajau,indo1317
275,Basque,basq1248
292,Baule,baou1238
422,Cantonese,yuec1235
431,Cashinahua,cash1254
449,Chamorro,cham1312
483,Sochiapan Chinantec,soch1239
537,Crow,crow1244
597,Diyari,dier1241
604,Jingulu,djin1251
632,Dyirbal,dyir1250
651,English,stan1293
661,Ewe,ewee1241
673,Fongbe,fonn1241
676,Meskwaki,mesk1242
714,Garo,garo1247
815,Halkomelem,halk1245
844,Hixkaryana,hixk1239
866,Hupa,hupa1239
889,Ika,arhu1242
921,Italian,ital1282
928,Itelmen,itel1242
929,Itonama,iton1250
943,Jakaltek,popt1235
947,Japanese,nucl1643
950,Jarawa (in Andamans),jara1245
1052,Kashmiri,kash1277
1071,Kazakh,kaza1248
1088,Ket,kett1243
1097,Khanty,khan1273
1103,Khoekhoe,nama1264
1106,Khwarshi,khva1239
1133,Koasati,koas1236
1166,Korean,kore1280
1179,Koyra Chiini,koyr1240
1180,Koyraboro Senni,koyr1242
1241,Lakhota,lako1247
1253,Lango,lang1324
1263,Lavukaleve,lavu1241
1264,Laz,lazz1240
1371,Maltese,malt1254
1387,Mandarin Chinese,mand1415
1407,Mapudungun,mapu1245
1426,Martuthunira,mart1255
1439,Mauritian Creole,mori1278
1556,Movima,movi1243
1657,Dolakha Newari,newa1246
1755,Eastern Ojibwe,east2542
1763,Olutec,olut1240
1776,Oriya,nucl1284
1817,Panjabi,panj1256
1839,Persian,west2369
1871,Northern Pomo,nort2966
1893,Qiang,nort2722
1903,Imbabura Quechua,imba1240
1972,Saliba (in PNG),sali1295
2012,Semelai,seme1247
2020,Seri,seri1257
2110,Supyire,supy1237
2115,Swahili,swah1253
2116,Swati,swat1243
2181,Tehuelche,tehu1242
2191,Teop,teop1238
2225,Tiipay (Jamul),kumi1248
2234,Tiriyo,trio1238
2239,Tiwa (Southern),sout2961
2241,Tlapanec,acat1239
2264,Totonac (Misantla),yecu1235
2293,Tukang Besi,tuka1249
2298,Tümpisa Shoshone,pana1305
2323,Tzotzil,tzot1262
2359,Vafsi,vafs1240
2384,Wappo,wapp1239
2433,Wolof,nucl1347
2447,!Xun (Ekoka),kung1261
2471,Yaqui,yaqu1251
2502,Yoruba,yoru1245
2507,Yukaghir (Kolyma),sout2750
2521,Yuracare,yura1255
2539,Zarma,zarm1239
2552,Zulu,zulu1248
2556,Puma,puma1239
2558,Leti,leti1246
2559,Kayardild,kaya1319
2560,Hungarian,hung1274
2561,Emai,emai1241
2562,Lai,haka1240
2563,Paiute (Northern),nort2954
2564,Indonesian,indo1316
2565,Jalonke,yalu1240
2566,Meithei,mani1292
2567,N|uu,nuuu1241
2568,Greenlandic (West),kala1399
2573,Jóola Banjal,band1340
2574,Neo-Aramaic (Telkepe),chal1275
