Article_title,Authors,BibTeX_type,Book_title,Chapter,City,Editors,Full_reference,Issue_number,Journal,LaTeX_cite_key,Pages,Publisher,Reference_ID,School,URL,Volume,Year,Year_disambiguation_letter
Yaqui and the Analysis of Primary Object Languages,"Guerrero, Lilián & Robert D. Van Valin, Jr.",article,,,,,,3,International Journal of American Linguistics,ch001guerrerovanvalin2004,290-319,,1,,,70,2004,
A note on Anaphora and Double objects,"Barss, Andrew & Howard Lasnik",article,,,,,,2,Linguistic Inquiry,,347-354,,2,,,17,1986,
Dative alternation in Spanish,"Demonte, Violeta",article,,,,,,,Probus,,5-30,,3,,,7,1995,
Discourse constraints on dative movement,"Erteschik-Shir, Nomi",incollection,"Syntax and Semantics, 12: Discourse and Syntax",,New York/San Francisco/London,"Givón, Talmy",,,,,441-467,Academic Press,4,,,,1979,
Construções de dativo de verbos bitransitivos do português do Brasil,"Gomes, Christina Abreu",incollection,Estudos de Sociolingüística portuguesa,,Frankfurt am Main,"Gärtner, Eberhard & Christine Hundt & Axel Schönberger","Abreu Gomes, Christina. 2000. Construções de dativo de verbos bitransitivos do português do Brasil. in: Gärtner, Eberhard & Christine Hundt & Axel Schönberger (eds.). Estudos de Sociolingüística portuguesa. Frankfurt am Main: TFM. pp. 141-154.",,,,141-154,TFM,5,,,,2000,
The real-world colour of the dative alternation,"Groefsema, Marjolein",article,,,,,,,Language Sciences,,525-550,,6,,,23,2001,
On the double object construction in English and Modern Greek,"Kakouriotis, Athanassios",article,,,,,,1,Studies in Language,,1-35,,7,,,19,1994,
On the double object construction and the oblique construction in Cantonese,"Xu, Liejiong & Peyraube, Alain",article,,,,,,1,Studies in Language,,105-127,,8,,,21,1997,
On Larson's treatment of the double object construction,"Jackendoff, Ray S.",article,,,,,,3,Linguistic Inquiry,,427-456,,9,,,21,1990,a
On the double object construction,"Larson, Richard K.",article,,,,,,3,Linguistic Inquiry,,335-391,,10,,,19,1988,
Double objects revisited: reply to Jackendoff,"Larson, Richard K.",article,,,,,,4,Linguistic Inquiry,,589-632,,11,,,21,1990,
Languages with and without Objects: the Functional Grammar Approach,"Siewierska, Anna",article,,,,,"Siewierska, Anna. 1998. Languages with and without Objects: the Functional Grammar Approach. Languages in Contrast, 1 (2): 173-190.",2,Languages in Contrast,,173-190,,12,,,1,1998,
,"Anagnostopoulou, Elena",book,The syntax of ditransitives: evidence from clitics,,Berlin,,"Anagnostopoulou, Elena. 2003. The Syntax of Ditransitives: evidence from clitics. Studies in generative grammar, 54. Berlin. Mouton de Gruyter.",,,,,Mouton de Gruyter,13,,,,2003,
Structural Asymmetries but Same Word Order: the Dative Alternation in Spanish,"Cuervo, Cristina",misc,Symmetry in Grammar,,Amsterdam,"Di Sciullo, Anna Maria",,,,,117-144,John Benjamins,14,,,,2003,
The Learnability and Acquisition of the Dative Alternation in English,"Gropen, Jess & Steven Pinker & Michelle Hollander & Richard Goldberg & Ronald Wilson",article,,,,,,2,Language,,203-257,,15,,,65,1989,
